fold,row_index,date,actual,predicted,prob_up,next_day_return,signal,position_change,transaction_cost,strategy_return,equity_curve,buy_hold_curve,benchmark_return,drawdown
5,202,2022-10-27,1,1,0.7401965650460145,0.002810605244745412,1,1.0,0.001,0.0018106052447454122,0.9358706639763733,1.0665084423331208,0.002810605244745412,-0.06412933602362669
5,203,2022-10-28,1,0,0.4156503065883009,0.012672230395564199,0,1.0,0.001,-0.001,0.9349347933123969,1.0800234830331805,0.012672230395564199,-0.06506520668760307
5,204,2022-10-31,1,1,0.6805770648579976,0.007395053222392978,1,1.0,0.001,0.006395053222392978,0.9409137510750968,1.088010314171645,0.007395053222392978,-0.05908624892490322
5,205,2022-11-01,0,1,0.6838839156096087,-0.003447197631545107,1,0.0,0.0,-0.003447197631545107,0.9376702354209024,1.084259727593536,-0.003447197631545107,-0.06232976457909756
5,206,2022-11-02,0,1,0.6045099033853993,-0.0016673473084335422,1,0.0,0.0,-0.0016673473084335422,0.9361068134776751,1.08245189005509,-0.0016673473084335422,-0.0638931865223249
6,207,2022-11-03,1,0,0.0499717276869576,0.003570168155688336,0,1.0,0.001,-0.001,0.9351707066641974,1.0863164253230293,0.003570168155688336,-0.06482929333580256
6,208,2022-11-04,1,0,0.1188175995621465,0.004727586225111935,0,0.0,0.0,0.0,0.9351707066641974,1.0914520798914993,0.004727586225111935,-0.06482929333580256
6,209,2022-11-07,0,0,0.3502986206004667,-0.002516139235956394,0,0.0,0.0,-0.0,0.9351707066641974,1.088705834489118,-0.002516139235956394,-0.06482929333580256
6,210,2022-11-09,0,0,0.4639569765076881,-0.007093725904609771,0,0.0,0.0,-0.0,0.9351707066641974,1.0809828537085029,-0.007093725904609771,-0.06482929333580256
6,211,2022-11-10,1,0,0.2326620821045296,0.017833173247033374,0,0.0,0.0,0.0,0.9351707066641974,1.100260208215759,0.017833173247033374,-0.06482929333580256
6,212,2022-11-11,0,0,0.3077771499925111,-0.0011198455015547504,0,0.0,0.0,-0.0,0.9351707066641974,1.099028086771049,-0.0011198455015547504,-0.06482929333580256
6,213,2022-11-14,1,0,0.2060558331590251,0.004050924260950772,0,0.0,0.0,0.0,0.9351707066641974,1.1034801663112161,0.004050924260950772,-0.06482929333580256
6,214,2022-11-15,1,0,0.0789127894402874,0.0003396111515991951,0,0.0,0.0,0.0,0.9351707066641974,1.103854920481264,0.0003396111515991951,-0.06482929333580256
6,215,2022-11-16,0,0,0.0501870853334162,-0.00357149639481924,0,0.0,0.0,-0.0,0.9351707066641974,1.0999125066123616,-0.00357149639481924,-0.06482929333580256
6,216,2022-11-17,0,0,0.0207588103140514,-0.00197613371355454,0,0.0,0.0,-0.0,0.9351707066641974,1.0977389324260847,-0.00197613371355454,-0.06482929333580256
6,217,2022-11-18,0,0,0.0896506067538148,-0.008067729540576885,0,0.0,0.0,-0.0,0.9351707066641974,1.0888826716131095,-0.008067729540576885,-0.06482929333580256
6,218,2022-11-21,1,0,0.1808454650714024,0.00463933015368867,0,0.0,0.0,0.0,0.9351707066641974,1.0939343578253533,0.00463933015368867,-0.06482929333580256
6,219,2022-11-22,1,0,0.3276357208608831,0.0012634580983039712,0,0.0,0.0,0.0,0.9351707066641974,1.0953164980487606,0.0012634580983039712,-0.06482929333580256
6,220,2022-11-23,1,0,0.443728498437362,0.011870949889830174,0,0.0,0.0,0.0,0.9351707066641974,1.1083189453106017,0.011870949889830174,-0.06482929333580256
6,221,2022-11-24,1,0,0.3321162165622228,0.0015500019600884762,0,0.0,0.0,0.0,0.9351707066641974,1.1100368418482363,0.0015500019600884762,-0.06482929333580256
6,222,2022-11-25,1,0,0.1874515194839173,0.0027008413120686026,0,0.0,0.0,0.0,0.9351707066641974,1.113034875208618,0.0027008413120686026,-0.06482929333580256
6,223,2022-11-28,1,0,0.4082026187550869,0.00297912654375021,0,0.0,0.0,0.0,0.9351707066641974,1.1163507469494718,0.00297912654375021,-0.06482929333580256
6,224,2022-11-29,1,0,0.2849078149743008,0.007535634625419174,0,0.0,0.0,0.0,0.9351707066641974,1.1247631582922968,0.007535634625419174,-0.06482929333580256
